Question number,Question Description,Recommendation
CI.01,The software architecture is modular in order to allow automated testing.,"A software architecture that is characterized by having loosely coupled and highly cohesive modules makes automated testing feasible, as it makes it possible to isolate units of code for unit testing.
To make modules more semantically cohesive, it is necessary to apply refactorings, such as moving some functions or pieces of code from one module to another, whether new or existing. To make modules less coupled, here are some instructions:
- Define modules with well-defined interfaces.
- Use an intermediary to break dependencies. The type of intermediary depends on the type of dependency. For example, in a service-oriented architecture, in which services are discovered by dynamic search, the discovery service is an intermediary.
- Restrict visibility and access to modules only via interfaces and to modules that meet architectural constraints.
- Abstract similar services by implementing an abstract service that can replace the same or similar parts in two or more modules.
It's worth remembering that changing the architecture to a more modular one involves effort and change in the organization of teams, limiting domains and good communication between services. See more details in a case study at the following link: https://martinfowler.com/articles/linking-modular-arch.html "
CI.02,The software architecture is modular in order to allow automated builds.,"A software architecture that is characterized by having loosely coupled and highly cohesive modules makes automated testing feasible, as it makes it possible to isolate units of code for unit testing.
To make modules more semantically cohesive, it is necessary to apply refactorings, such as moving some functions or pieces of code from one module to another, whether new or existing. To make modules less coupled, here are some instructions:
- Design modules with well-defined interfaces.
- Use an intermediary to break strong dependencies. The type of intermediary depends on the type of dependency. For example, in a service-oriented architecture, in which services are discovered by dynamic search, the discovery service is an intermediary.
- Restrict visibility and access to modules only via interfaces and to modules that meet the constraints of the architecture.
- Abstract similar services by implementing an abstract service that can replace the same or similar parts in two or more modules.
It's worth remembering that changing the architecture to a more modular one involves effort and change in team organization, limiting domains and good communication between modules. See more details in a case study at the following link: https://martinfowler.com/articles/linking-modular-arch.html"
CI.03,Code is integrated constantly and automatically.,"To integrate code more frequently, try one or two of the following techniques:
- Make small changes - Avoid changing too many components at once. Choose small tasks, write the tests and source code, run your tests, and then commit your code to the version control repository. 
- Commit after each task - Assuming that the tasks or work items have been broken down to the point where they can be finished in a few hours, developers should then commit their code as soon as each task is completed. 
Ideally, each developer should commit at least once a day."
CI.04,"Tests are run automatically, periodically (e.g. whenever new code is integrated), in a test environment, to check the quality of the code (e.g. coverage, correctness).","Make sure you use a continuous integration tool to run unit tests automatically, ensure that tests of different levels are run at the appropriate stage in the pipeline and monitor code quality metrics. Categorize your tests into distinct groups: unit tests, which check the behaviour of small elements, usually a single class or function; integration tests, which check that interaction between components occurs as expected; system tests, which check that the entire system and its external interfaces work correctly; and acceptance tests, which simulate the use of the system from the user's point of view to check that functionalities are behaving as expected.

Run the fastest tests first, performing unit tests on each code integration and integration, system and acceptance tests at the appropriate stages of the pipeline or at periodic intervals. Whenever you add new code or discover a defect, create tests to cover it. Ensure that test cases have only one assertion to make it easier to identify bugs."
CI.05,Automated tests are used to assess whether the implemented software meets the established requirements.,"Start by prioritizing the automation of tests that verify the system's main and critical scenarios, followed by tests that are executed frequently and require less maintenance effort. It is important to develop the automated tests simultaneously with the code, based on the acceptance criteria for functional requirements and the quality constraints for non-functional requirements. In addition, automate the tests that indirectly validate compliance with the requirements. Automating tests reduces repetitive workload and minimizes human error in the testing process. It is essential to keep the automated tests updated in sync with the evolution of the system."
CI.06,Builds occur frequently and automatically.,"To guarantee the stability and reliability of the system, it is essential to carry out all updates through automated builds. It is advisable to plan the development and delivery of solutions in such a way as to facilitate more frequent automated builds, and to divide tasks into smaller units. Use continuous integration (CI) tools to automate the build process."
CI.07,Builds are canceled if one or more tests fail.,"Implement and configure a Continuous Integration (CI) tool to stop building immediately if one or more tests fail. It is crucial to identify the cause of the failure, whether it is a problem with the test or the application, and to take corrective action immediately. This is fundamental to preserving the integrity of the application and ensuring the continued reliability of the test suite."
CI.08,"There is version control of software artifacts (e.g. code, tests, scripts, etc.) in a repository.","Ensure that you use a version control tool for the artifacts, so that you can be confident that you can run previous versions of the system. Use versioning semantics and tags that make it clear to development teams how versions are organized."
CI.09,Good check-in practices are applied in the development trunk (e.g. use of GitFlow).,"Before integrating the code, run local tests and review the code. Use Pull Requests (PRs) to facilitate the review and discussion of changes: create detailed PRs with clear descriptions and ask at least one team member to review them. Adopt a branching model, such as GitFlow, for structured change management.
In comments, both in the code and in the PRs, be clear and constructive, explaining the logic and important details without redundancy. Follow commit conventions, such as those of Conventional Commits (https://www.conventionalcommits.org/en/v1.0.0/), to keep an organized and informative commit history."
CI.10,There are practices that allow organizations or people external to the project to act in the implementation of the product (i.e. produce and integrate code into the product being developed).,"Set up the necessary access permissions for the user accounts of external collaborators participating in the project. This includes version control tools, project management tools such as Jira, among others. It is essential to have guidelines available with general directions for contributors, for example, what the development nomenclature is, how to access software tools, or what the Pull Request requirements are."
CI.11,"Data is collected for metrics that make it possible to evaluate the continuous integration process (e.g. number of canceled builds, number of code integrations performed).","Collect data on a regular basis to analyze various behaviors in the continuous integration procedures. Based on these analyses, set clear and achievable goals together with the team, and monitor regularly to adjust, if necessary, the procedures needed to achieve these goals. It is crucial that the goals set make sense to everyone involved, so as not to interfere with the evolution or adoption of new development practices.
Some metrics to consider, along with questions for analysis:
- Number of canceled builds: Is the reliability of the test suite compromised? Are there problems of technical or development understanding? Is the development environment stable enough to support testing?
- Number of failed builds: What is the frequency of failed builds? Are these failures related to specific code or environment problems? Are there patterns that indicate areas for improvement or adjustment needs in the test suite?
- Number of integrations carried out: Are tasks being sufficiently broken down into smaller units? Are all code updates being adequately included in the integration process, without exceptions?"
CI.12,"Data produced in continuous integration environments (e.g. date of builds, number of tests run and coverage percentage) is stored in one (or more) data repositories.","Store the data generated in the continuous integration process securely, guaranteeing its availability for consultation when necessary. Secure the repository to allow access only to authorized people and systems, ensuring not only the availability but also the integrity of the data. To do this, in addition to a continuous integration server, consider a repository for storing binary artifacts, such as Artifactory"
CI.13,The continuous integration process (including automated testing) is continuously evaluated and improved.,"Hold regular meetings with the team to identify opportunities for improvement in the CI process. Draw up action plans to address these points, using concrete data as a basis for analysis and progress. Consider improvements in aspects such as test coverage and automation, version control tools, reducing canceled builds, team coordination, among other elements of the CI process. Retrospective meetings can be used to raise important points, for example."
CI.14,Data stored in the data repository(ies) is used to improve the product and the continuous integration process.,"It is essential to identify opportunities for improvement based on real data generated by the CI process. This data should feed into quality metrics for the CI process and be used to assess the effectiveness of improvement plans. To this end, it is essential to have not only the metrics defined for the CI procedures, but also well-established analysis procedures that allow deviations and opportunities for improvement to be identified."
CI.15,"Actions are taken to share knowledge related to continuous integration (e.g. internal lectures, tutorials, knowledge repositories, implementation of guilds).","It is essential to promote a culture within teams that encourages the professional development of IT professionals. In the context of CI, it is advisable to organize training and lectures with experts, hold practical learning sessions and encourage development teams to propose suggestions for improvements and innovations. It is essential that everyone on the team understands the key elements for maintaining an efficient CI process."
CD.01,"The main clients/consumers are identified and participate in the development process, influencing the functionalities that will be produced and delivered.","Develop criteria to identify the system's main clients/consumers. Once identified, use methods to ensure that their needs and opinions guide the planning of the functionalities to be developed and also the validation of deliveries in production. Some ways of identifying these needs and opinions include: interviews, questionnaires, analysis of the history of use of functionalities already available, communication channels such as Customer Service, as well as using prototypes in the planning phase and feature flags, A/B tests in the delivery phase."
CD.02,"There is a clear flow of information between Development and Operation, allowing new features developed to go live automatically.","Each stage of the pipeline should include the tests needed to guarantee the quality of the artifact before moving on to the next phase, with specific tests, such as integration tests, being carried out before acceptance tests. The development and operations teams should collaborate to design the pipeline with a view to automating deployment into production, incorporating quality gates that allow for the automatic rejection of packages that don't meet quality metrics, such as test coverage."
CD.03,New functionalities are delivered by releases automatically.,"Use effective branch organization, automated testing, package traceability and automation to deliver packages to production environments. Plan the assembly of releases in collaboration with the development teams and ensure that, once approved, the functionalities are automatically made available in the production environment. Provide clear and objective information about the changes included in each release, and follow good practices for identifying releases and keeping a detailed history."
CD.04,"There is a clear flow of information between Operations and Business, allowing new client/consumer needs and business opportunities to be identified from the delivery of new functionalities.","Implement effective tools and communication channels to collect customer feedback on the use of the system's functionalities. Google Analytics, for example, provides application usage data and business metrics. Ensure that data on the use and effectiveness of existing functionalities guides decisions on which improvements and new functionalities should be prioritized in the next development cycles.
It is essential that the Business team provides clear guidelines to the Operations team on what information is a priority for collection. At the same time, the Operations team must communicate which methods and tools are most effective for capturing this information accurately and efficiently."
CD.05,The software architecture makes it possible to deploy functionalities independently.,"A software architecture that is characterized by having loosely coupled and highly cohesive modules makes independent deployment feasible, as it allows the impact on other modules to be reduced when deploying.
To make modules more semantically cohesive, it is necessary to apply refactorings, such as moving some functions or pieces of code from one module to another, whether new or existing. To make modules less coupled, here are some instructions:
- Design modules with well-defined interfaces.
- Use an intermediary to break strong dependencies. The type of intermediary depends on the type of dependency. For example, in a service-oriented architecture, in which services are discovered by dynamic search, the discovery service is an intermediary.
- Restrict visibility and access to modules only via interfaces and to modules that meet the constraints of the architecture.
- Abstract similar services by implementing an abstract service that can replace the same or similar parts in two or more modules.
It's worth remembering that changing the architecture to a more modular one involves effort and change in team organization, limiting domains and good communication between modules. See more details in a case study at the following link: https://martinfowler.com/articles/linking-modular-arch.html "
CD.06,"Clients/consumers receive new features frequently, even in shorter cycles than the time-box that is usually established in the development process.","Use metrics to identify, and then eliminate, bottlenecks or unnecessary waits in the software development and delivery process, thus enabling the availability of functionalities as soon as they are ready. For deliveries to be frequent, it is crucial that: development demands are well broken down and there is no doubt about what needs to be done; teams have the same understanding of what Definition of Done is; teams (including operations) are confident about the quality of tests at all stages of the pipeline."
CD.07,Customers can test the product as soon as new features are deployed.,"Use tools that support testing new features in production, such as feature toggle, A/B testing and Canary release. Establish in demand planning what kind of information should be captured from customers to assess whether the feature/release has met the customer's requirements and needs."
CD.08,The organization's business model is constantly evaluated and revised (when necessary) based on information from clients/consumers.,"Implement effective tools and communication channels to capture information on the use, experience and needs of users. This analysis should drive rapid adjustments to the product, ensuring that it meets market expectations and contributes to innovation and competitive advantage. The use of data, such as that provided by Google Analytics, enriches decision-making and guides which improvements and new features should be prioritized. Encourage frequent collaboration between different areas to align all aspects of the business model, and use prototyping to test new ideas and assess their viability."
CD.09,Marketing strategies are constantly evaluated and revised (when necessary) based on information from lead customers (customers/consumers most relevant to the organization).,"The CD process must take marketing strategies into account, so that deliveries are the product of alignment between development and the organization's objectives. To do this, marketing must have access to customer information on which to base its strategies, and the planning of the development and delivery of functionalities must take marketing strategies into account. In this way, the organization is in a better position to compete.
Therefore, ensure that tools are used to provide the customer information needed for marketing. Also ensure that the planning for launching new features/products is aligned and will be carried out jointly by the development and marketing teams. "
CD.10,Sales strategies are constantly evaluated and revised (when necessary) based on information from lead customers (customers/consumers most relevant to the organization).,"The CD process must take sales strategies into account, so that deliveries result from the alignment between development and the organization’s goals. For this, sales should have access to customer and product information to base their strategies on.
Therefore, ensure the use of tools to provide the necessary customer and product information to the sales team. Also, make sure that the release of new features/products is communicated to sales in advance.
It is crucial in the CD process that sales information is used to support the prioritization and development of new features."
CD.11,Alignment between product development and the organization's business is maintained through continuous checks in short cycles.,"The CD process must take sales strategies into account, so that deliveries result from the alignment between development and the organization’s goals. For this, sales should have access to customer and product information to base their strategies on.
Therefore, ensure the use of tools to provide the necessary customer and product information to the sales team. Also, make sure that the release of new features/products is communicated to sales in advance.
It is crucial in the CD process that sales information is used to support the prioritization and development of new features."
CD.12,"Alignment between product development and the organization's business is maintained through continuous checks, in short cycles and based on data.","Use methods that enable teams to work collaboratively with the same objectives as the organization, such as the use of OKRs.
In day-to-day work, development teams should define and deliver tasks always aligned with the business. One suggestion to achieve this is to apply the Onsite Customer practice from XP, which involves having the application’s client (the system beneficiary) physically located in the same area as the developers, being available to answer any questions and interact.
In summary, use work methods that encourage collaboration among professionals, teams, and different departments, and avoid those that promote isolated individual work.
Use information extracted from metrics and indicators to support decision-making, task prioritization, and requirements definition. For example, developers can monitor the metrics of the features they are working on, then evaluate whether the performance meets expectations and guide the next steps for the feature. Another example is to use A/B testing on features, extract data between variants to compare results, and then determine if the feature was successful."
CD.13,"Data is collected for metrics to evaluate the continuous delivery process (e.g. number of releases, defect density in releases).","Evaluate the continuous delivery process using well-known metrics, and then plan actions to improve the process. Some popular metrics are found in DORA (https://dora.dev/guides/dora-metrics-four-keys/): Lead time (how long does it take from code commit until it is successfully running in production?), Deploy frequency (how often does your organization deliver code?), Change fail percentage (the percentage of releases or production changes that resulted in the need for a fix), and Failed deployment recovery time (how long does it usually take for a fix to restore the service).
In addition to these metrics, continuously assess ways to reduce rework, minimize deployment issues/pain points, and decrease the time spent on rework or unplanned work."
CD.14,Data produced in continuous delivery environments (e.g. date of releases and version of software delivered) is stored in one (or more) data repositories.,"Data produced in continuous delivery environments can be used for various purposes, such as feeding process quality metrics or serving as a basis for specific analyses (for example: investigating unexpected behavior, identifying bottlenecks, etc.). With this in mind, it is crucial to ensure the integrity and availability of access to all data generated in the CD process. Use some of the following strategies to guarantee access availability to persistent logs: Store logs in databases; Store logs in distributed data systems; Manage logs through managed logging services; Send logs in real-time to Log Streams; Centralize logs using log collection systems."
CD.15,The continuous delivery process is continuously evaluated and improved.,"Hold regular meetings with the team to identify improvement opportunities in the CD process, similar to Scrum retrospectives or Kanban Service Delivery Reviews, using charts such as Cumulative Flow Diagrams (CFD), Heat Maps, Blocker Analysis Charts, and Cycle Time Trend Analysis. Develop action plans to address these points, using concrete data as the basis for analysis and progress. Consider improvements in areas such as test coverage and automation, configuration management and branching strategies, reduction of canceled builds, team coordination, among other elements of the CD process."
CD.16,Data stored in the data repository(ies) is used to improve the product and the continuous delivery process.,"Ensure that improvements in the CD process are based on real data generated by the process itself, using charts such as Cumulative Flow Diagrams (CFD), Heat Maps, Blocker Analysis Charts, and Cycle Time Trend Analysis to identify improvement opportunities. Include in the improvement process an evaluation of the effectiveness of the improvement plans implemented.
From the product perspective, also ensure that improvements are based on real data obtained from product usage and customer feedback. Some examples of data that can be used are: adoption rate, usage frequency, most used features, application error rate, NPS, funnel analysis, among others."
CD.17,"Actions are taken to share knowledge related to continuous delivery (e.g. internal talks, tutorials, knowledge repositories, implementation of guilds).","It is essential to foster a culture within teams that encourages the professional growth of IT professionals. In the context of CD, it is recommended to organize training sessions and talks with specialists, conduct hands-on learning sessions, and encourage development teams to propose suggestions for improvements and innovations. It is crucial that everyone on the team understands the key elements needed to maintain an efficient CD process."